HTS_Number,Trade_Description,Brief_Description,HTS8,Match_Type
50,"SILK, INCLUDING YARNS AND WOVEN FABRICS THEREOF",Unknown,,None
51,"WOOL AND FINE OR COARSE ANIMAL HAIR, INCLUDING YARNS AND WOVEN FABRICS THEREOF; HORSEHAIR YARN AND WOVEN FABRIC","Tapestry and upholstery fabrics of combed wool/fine animal hair, containing 85% or more wool or hair, weight not over 140 g/m2",51121110.0,Partial
52,"COTTON, INCLUDING YARNS AND WOVEN FABRICS THEREOF","3- or 4-thread twill fabrics of cotton, including cross twill, 85% or more cotton by weight, not over 200 g/m2, of yarns of different colors",52084300.0,Partial
53,VEGETABLE TEXTILE FIBERS NESOI; YARNS AND WOVEN FABRICS OF VEGETABLE TEXTILE FIBERS NESOI AND PAPER,"Woven fabrics of other vegetable textile fibers, nesoi",53110040.0,Partial
54,"MANMADE FILAMENTS, INCLUDING YARNS AND WOVEN FABRICS THEREOF",Unknown,,None
55,"MANMADE STAPLE FIBERS, INCLUDING YARNS AND WOVEN FABRICS THEREOF",Unknown,,None
56,"WADDING, FELT AND NONWOVENS; SPECIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF",Unknown,,None
57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS,"Carpets and other textile floor coverings, whether or not made up, nesoi",57050020.0,Partial
58,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY,Unknown,,None
59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES SUITABLE FOR INDUSTRIAL USE","Textile fabrics of cotton, impregnated, coated, covered or laminated with polyvinyl chloride",59031010.0,Partial
60,KNITTED OR CROCHETED FABRICS,Knitted or crocheted looped pile fabrics of cotton,60012100.0,Partial
61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CROCHETED","Articles of apparel and clothing accessories, of furskins",43031000.0,Partial
62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED","Articles of apparel and clothing accessories, of furskins",43031000.0,Partial
63,MADE-UP TEXTILE ARTICLES NESOI; NEEDLECRAFT SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,"National flags and other made-up articles of textile materials, nesoi",63079098.0,Partial
64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES",Unknown,,None
65,HEADGEAR AND PARTS THEREOF,Unknown,,None
66,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS, RIDING-CROPS AND PARTS THEREOF",Unknown,,None
67,PREPARED FEATHERS AND DOWN AND ARTICLES THEREOF; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR,Unknown,,None
68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS","Articles of cement (other than tiles, flagstones, bricks and similar arts.), of concrete or artificial stone, nesoi",68109900.0,Partial
69,CERAMIC PRODUCTS,"Uranium depleted in U235, thorium; alloys, dispersions, ceramic products and mixtures of these products and their compounds",28443050.0,Partial
70,GLASS AND GLASSWARE,"Glassware for table or kitchen purposes (o/than drinking glasses), of pressed and toughened glass, nesoi",70134910.0,Partial
71,"NATURAL OR CULTURED PEARLS, PRECIOUS OR SEMIPRECIOUS STONES, PRECIOUS METALS; PRECIOUS METAL CLAD METALS, ARTICLES THEREOF; IMITATION JEWELRY; COIN",Unknown,,None
72,IRON AND STEEL,Iron and nonalloy steel ingots,72061000.0,Partial
73,ARTICLES OF IRON OR STEEL,"Iron or steel, articles of wire, nesoi",73262000.0,Partial
74,COPPER AND ARTICLES THEREOF,"Copper, screw hooks and other threaded articles, nesoi",74153900.0,Partial
75,NICKEL AND ARTICLES THEREOF,Unknown,,None
76,ALUMINUM AND ARTICLES THEREOF,"Aluminum, table, kitchen or other household articles (o/than cooking or kitchen ware) and parts thereof",76151091.0,Partial
78,LEAD AND ARTICLES THEREOF,Unknown,,None
79,ZINC AND ARTICLES THEREOF,"Iron or steel, aluminum, or zinc, mountings, fittings & similar articles nesoi, and base metal parts thereof",83024960.0,Partial
80,TIN AND ARTICLES THEREOF,"Unhardened gelatin, worked and articles thereof",96020010.0,Partial
81,BASE METALS NESOI; CERMETS; ARTICLES THEREOF,Unknown,,None
82,"TOOLS, IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL",Unknown,,None
83,MISCELLANEOUS ARTICLES OF BASE METAL,Unknown,,None
84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF",Unknown,,None
85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION RECORDERS AND REPRODUCERS, PARTS AND ACCESSORIES","Machinery parts, not containing electrical connectors, insulators, coils, contacts or other electrical features and other parts nesi",84879000.0,Partial
86,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING STOCK, TRACK FIXTURES AND FITTINGS, AND PARTS THEREOF; MECHANICAL ETC. TRAFFIC SIGNAL EQUIPMENT OF ALL KINDS","Railway or tramway track fixtures and fittings; mechanical signaling, safety or traffic control equipment of all kinds nesoi; parts thereof",86080000.0,Partial
87,"VEHICLES, OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF","Motor vehicles, w/other than diesel engine, for transport of 10 but not more than 15 persons",87029060.0,Partial
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF",Unknown,,None
89,"SHIPS, BOATS AND FLOATING STRUCTURES","Vessels, designed for the transport of persons, cruise ships, excursion boats and similar vessels; ferry boats of all kinds",89011000.0,Partial
90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING, CHECKING, PRECISION, MEDICAL OR SURGICAL INSTRUMENTS AND APPARATUS; PARTS AND ACCESSORIES THEREOF",Unknown,,None
91,CLOCKS AND WATCHES AND PARTS THEREOF,"Dials for watches and clocks, exceeding 50 mm in width",91143080.0,Partial
92,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES THEREOF,Unknown,,None
93,ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF,Unknown,,None
94,"FURNITURE; BEDDING, CUSHIONS ETC.; LAMPS AND LIGHTING FITTINGS NESOI; ILLUMINATED SIGNS, NAMEPLATES AND THE LIKE; PREFABRICATED BUILDINGS",Unknown,,None
95,"TOYS, GAMES AND SPORTS EQUIPMENT; PARTS AND ACCESSORIES THEREOF",Unknown,,None
96,MISCELLANEOUS MANUFACTURED ARTICLES,Unknown,,None
97,"WORKS OF ART, COLLECTORS' PIECES AND ANTIQUES",Unknown,,None
98,"SPECIAL CLASSIFICATION PROVISIONS, NESOI",Unknown,,None
99,"SPECIAL IMPORT REPORTING PROVISIONS, NESOI",Unknown,,None
