Model,R2,RMSE
HistGB/GBDT,0.9953451710038171,0.2782805862783159
AdaBoost,0.9885873625337855,0.4357366147134282
ExtraTrees,0.9765697968649151,0.6243369969174909
Ensemble,0.9914908821635359,0.37624723160924683
RNN,-1.3418858361184807,7.328650478065806
LSTM,-1.5539956750633794,7.653343895191978
Transformer,-0.8649660349694201,6.539982903153153
