feature,importance
import_ma3,0.6234340373395991
import_growth_mom,0.21071474405383833
ln_import_value_lag1,0.05108026711098986
ln_unit_value,0.038483555935616656
Q1,0.030220867094863765
import_growth_yoy,0.023713105822950536
import_ma6,0.012043091915932667
import_ma12,0.004809829155943127
time_index,0.004374037347425733
Q3,0.0009134713973958179
Q2,0.00018127952844905278
covid_period,3.171329699517184e-05
ln_tariff,0.0
post_policy,0.0
